primary_industry_id,name,url
3,"Makeup Artists, Theatrical and Performance",http://careerwise.minnstate.edu/careers/careerDetail?oc=395091
3,"Media and Communication Equipment Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=274099
3,"Media and Communication Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=273099
3,Multimedia Artists and Animators,http://careerwise.minnstate.edu/careers/careerDetail?oc=271014
3,Music Directors and Composers,http://careerwise.minnstate.edu/careers/careerDetail?oc=272041
3,Musicians and Singers,http://careerwise.minnstate.edu/careers/careerDetail?oc=272042
3,Photographers,http://careerwise.minnstate.edu/careers/careerDetail?oc=274021
3,Prepress Technicians and Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=515111
3,Print Binding and Finishing Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=515113
3,Printing Press Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=515112
3,Producers and Directors,http://careerwise.minnstate.edu/careers/careerDetail?oc=272012
3,Proofreaders and Copy Markers,http://careerwise.minnstate.edu/careers/careerDetail?oc=439081
3,Public Address System and Other Announcers,http://careerwise.minnstate.edu/careers/careerDetail?oc=273012
3,Radio and Television Announcers,http://careerwise.minnstate.edu/careers/careerDetail?oc=273011
3,Radio Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=274013
3,Reporters and Correspondents,http://careerwise.minnstate.edu/careers/careerDetail?oc=273022
3,Set and Exhibit Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271027
3,Sound Engineering Technicians,http://careerwise.minnstate.edu/careers/careerDetail?oc=274014
3,Technical Writers,http://careerwise.minnstate.edu/careers/careerDetail?oc=273042
3,"Telecommunications Equipment Installers and Repairers, Except Line Installers",http://careerwise.minnstate.edu/careers/careerDetail?oc=492022
3,Telecommunications Line Installers and Repairers,http://careerwise.minnstate.edu/careers/careerDetail?oc=499052
3,Writers and Authors,http://careerwise.minnstate.edu/careers/careerDetail?oc=273043
4,Administrative Services Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113011
4,"Bookkeeping, Accounting, and Auditing Clerks",http://careerwise.minnstate.edu/careers/careerDetail?oc=433031
4,"Business Operations Specialists, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=131199
4,Chief Executives,http://careerwise.minnstate.edu/careers/careerDetail?oc=111011
4,"Communications Equipment Operators, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=432099
4,Compensation and Benefits Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113111
4,"Compensation, Benefits, and Job Analysis Specialists",http://careerwise.minnstate.edu/careers/careerDetail?oc=131141
4,Computer and Information Systems Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113021
4,Computer Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=439011
4,Correspondence Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=434021
4,Customer Service Representatives,http://careerwise.minnstate.edu/careers/careerDetail?oc=434051
4,Data Entry Keyers,http://careerwise.minnstate.edu/careers/careerDetail?oc=439021
4,Executive Secretaries and Executive Administrative Assistants,http://careerwise.minnstate.edu/careers/careerDetail?oc=436011
4,File Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=434071
4,Fundraisers,http://careerwise.minnstate.edu/careers/careerDetail?oc=131131
4,General and Operations Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=111021
4,"Human Resources Assistants, Except Payroll and Timekeeping",http://careerwise.minnstate.edu/careers/careerDetail?oc=434161
4,Human Resources Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113121
4,Human Resources Specialists,http://careerwise.minnstate.edu/careers/careerDetail?oc=131071
4,Industrial Production Managers,http://careerwise.minnstate.edu/careers/careerDetail?oc=113051
4,"Information and Record Clerks, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=434199
4,"Interviewers, Except Eligibility and Loan",http://careerwise.minnstate.edu/careers/careerDetail?oc=434111
4,Labor Relations Specialists,http://careerwise.minnstate.edu/careers/careerDetail?oc=131075
4,"Library Assistants, Clerical",http://careerwise.minnstate.edu/careers/careerDetail?oc=434121
4,"Mail Clerks and Mail Machine Operators, Except Postal Service",http://careerwise.minnstate.edu/careers/careerDetail?oc=439051
4,Management Analysts,http://careerwise.minnstate.edu/careers/careerDetail?oc=131111
4,"Managers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=119199
4,"Meeting, Convention, and Event Planners",http://careerwise.minnstate.edu/careers/careerDetail?oc=131121
4,"Meter Readers, Utilities",http://careerwise.minnstate.edu/careers/careerDetail?oc=435041
4,New Accounts Clerks,http://careerwise.minnstate.edu/careers/careerDetail?oc=434141
4,"Office and Administrative Support Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=439199
4,"Office Clerks, General",http://careerwise.minnstate.edu/careers/careerDetail?oc=439061
